Mövsüm,,,,,,,,,,,
Mövsüm kodu,2026-10,,,,,,,,,,
İştirakçı sayı,3,,,,,,,,,,
Ümumi səs (bütün balanslar),257,,,,,,,,,,
İndeks (xam) = ümumi səs ÷ (iştirakçı × aylıq pay),0.856666666666667,,,,,,,,,,
"İndeks (hüdudlanmış, 2 onluq)",0.86,,,,,,,,,,
İndeks — DONDURULMUŞ (ayın 1-də B6-dan rəqəm kimi köçürün),1,,,,,,,,,,
,,,,,,,,,,,
№,İştirakçı,Ölkə,İfaçı,Mahnı,Aylıq dinləyici (Spotify),Yerli?,Baza (səs),Əmsal,İndeks,Qiymət (səs),Qeyd / iddia tarixi
1,Nümunə A,İsveç,Robyn,Dancing On My Own,52000000,Bəli,100,0.5,1,50,03.10 12:04
2,Nümunə B,Yaponiya,Ichiko Aoba,Luminescent Creatures,640000,Bəli,15,0.5,1,8,06.10 09:31
3,Nümunə C,Braziliya,Marisa Monte,Ainda Bem,2100000,Bəli,30,0.5,1,15,09.10 22:15
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
,,,,,,,,,,,
Yerli = ifaçının Vikipediyadakı vətəndaşlığı və ya doğulduğu ölkə nümayəndə heyətinin ölkəsidir (qrup: üzvlərin çoxu; birgə ifa: ən çox dinlənən ifaçıya görə). Qiymət hesablanan kimi Reyestrə 'İfaçı' sətri kimi mənfi yazılır.,,,,,,,,,,,
