Ölkələr — BMT üzvləri və müşahidəçi dövlətlər (195),,,,
,,,,
№,Ölkə (AZ),Country (EN),Status,Kim tutub (cari mövsüm)
1,Əfqanıstan,Afghanistan,BMT üzvü,
2,Albaniya,Albania,BMT üzvü,
3,Əlcəzair,Algeria,BMT üzvü,
4,Andorra,Andorra,BMT üzvü,
5,Anqola,Angola,BMT üzvü,
6,Antiqua və Barbuda,Antigua and Barbuda,BMT üzvü,
7,Argentina,Argentina,BMT üzvü,
8,Ermənistan,Armenia,BMT üzvü,
9,Avstraliya,Australia,BMT üzvü,
10,Avstriya,Austria,BMT üzvü,
11,Azərbaycan,Azerbaijan,BMT üzvü,
12,Baham adaları,Bahamas,BMT üzvü,
13,Bəhreyn,Bahrain,BMT üzvü,
14,Banqladeş,Bangladesh,BMT üzvü,
15,Barbados,Barbados,BMT üzvü,
16,Belarus,Belarus,BMT üzvü,
17,Belçika,Belgium,BMT üzvü,
18,Beliz,Belize,BMT üzvü,
19,Benin,Benin,BMT üzvü,
20,Butan,Bhutan,BMT üzvü,
21,Boliviya,Bolivia,BMT üzvü,
22,Bosniya və Herseqovina,Bosnia and Herzegovina,BMT üzvü,
23,Botsvana,Botswana,BMT üzvü,
24,Braziliya,Brazil,BMT üzvü,Nümunə C
25,Bruney,Brunei,BMT üzvü,
26,Bolqarıstan,Bulgaria,BMT üzvü,
27,Burkina-Faso,Burkina Faso,BMT üzvü,
28,Burundi,Burundi,BMT üzvü,
29,Kabo-Verde,Cabo Verde,BMT üzvü,
30,Kamboca,Cambodia,BMT üzvü,
31,Kamerun,Cameroon,BMT üzvü,
32,Kanada,Canada,BMT üzvü,
33,Mərkəzi Afrika Respublikası,Central African Republic,BMT üzvü,
34,Çad,Chad,BMT üzvü,
35,Çili,Chile,BMT üzvü,
36,Çin,China,BMT üzvü,
37,Kolumbiya,Colombia,BMT üzvü,
38,Komor adaları,Comoros,BMT üzvü,
39,Konqo Respublikası,Congo (Republic),BMT üzvü,
40,Konqo Demokratik Respublikası,Congo (Democratic Republic),BMT üzvü,
41,Kosta-Rika,Costa Rica,BMT üzvü,
42,Kot-d'İvuar,Côte d'Ivoire,BMT üzvü,
43,Xorvatiya,Croatia,BMT üzvü,
44,Kuba,Cuba,BMT üzvü,
45,Kipr,Cyprus,BMT üzvü,
46,Çexiya,Czechia,BMT üzvü,
47,Danimarka,Denmark,BMT üzvü,
48,Cibuti,Djibouti,BMT üzvü,
49,Dominika,Dominica,BMT üzvü,
50,Dominikan Respublikası,Dominican Republic,BMT üzvü,
51,Ekvador,Ecuador,BMT üzvü,
52,Misir,Egypt,BMT üzvü,
53,Salvador,El Salvador,BMT üzvü,
54,Ekvatorial Qvineya,Equatorial Guinea,BMT üzvü,
55,Eritreya,Eritrea,BMT üzvü,
56,Estoniya,Estonia,BMT üzvü,
57,Esvatini,Eswatini,BMT üzvü,
58,Efiopiya,Ethiopia,BMT üzvü,
59,Fici,Fiji,BMT üzvü,
60,Finlandiya,Finland,BMT üzvü,
61,Fransa,France,BMT üzvü,
62,Qabon,Gabon,BMT üzvü,
63,Qambiya,Gambia,BMT üzvü,
64,Gürcüstan,Georgia,BMT üzvü,
65,Almaniya,Germany,BMT üzvü,
66,Qana,Ghana,BMT üzvü,
67,Yunanıstan,Greece,BMT üzvü,
68,Qrenada,Grenada,BMT üzvü,
69,Qvatemala,Guatemala,BMT üzvü,
70,Qvineya,Guinea,BMT üzvü,
71,Qvineya-Bisau,Guinea-Bissau,BMT üzvü,
72,Qayana,Guyana,BMT üzvü,
73,Haiti,Haiti,BMT üzvü,
74,Honduras,Honduras,BMT üzvü,
75,Macarıstan,Hungary,BMT üzvü,
76,İslandiya,Iceland,BMT üzvü,
77,Hindistan,India,BMT üzvü,
78,İndoneziya,Indonesia,BMT üzvü,
79,İran,Iran,BMT üzvü,
80,İraq,Iraq,BMT üzvü,
81,İrlandiya,Ireland,BMT üzvü,
82,İsrail,Israel,BMT üzvü,
83,İtaliya,Italy,BMT üzvü,
84,Yamayka,Jamaica,BMT üzvü,
85,Yaponiya,Japan,BMT üzvü,Nümunə B
86,İordaniya,Jordan,BMT üzvü,
87,Qazaxıstan,Kazakhstan,BMT üzvü,
88,Keniya,Kenya,BMT üzvü,
89,Kiribati,Kiribati,BMT üzvü,
90,Küveyt,Kuwait,BMT üzvü,
91,Qırğızıstan,Kyrgyzstan,BMT üzvü,
